name,keywords
Mentor_1,Web Development
Mentor_2,"Artificial Intelligence, Web Development"
Mentor_3,"Cloud Computing, Mobile App Development, Graphic Design"
Mentor_4,"Web Development, Finance"
Mentor_5,Artificial Intelligence
Mentor_6,"Robotics, Machine Learning"
Mentor_7,"Robotics, Marketing"
Mentor_8,Cloud Computing
Mentor_9,Web Development
Mentor_10,"Finance, Graphic Design"
Mentor_11,Education
Mentor_12,"Marketing, Sustainability"
Mentor_13,"Education, Cloud Computing, Web Development"
Mentor_14,"Machine Learning, Sustainability, Mobile App Development"
Mentor_15,"Cloud Computing, Artificial Intelligence"
Mentor_16,Mobile App Development
Mentor_17,Artificial Intelligence
Mentor_18,Graphic Design
Mentor_19,"Robotics, Machine Learning, Data Science"
Mentor_20,Artificial Intelligence
Mentor_21,"Web Development, Mobile App Development, Machine Learning"
Mentor_22,"Cybersecurity, Biotechnology, Artificial Intelligence"
Mentor_23,"Biotechnology, Cybersecurity"
Mentor_24,"Marketing, Cloud Computing, Robotics"
Mentor_25,"Marketing, Cloud Computing"
Mentor_26,"Sustainability, Marketing"
Mentor_27,Data Science
Mentor_28,"Mobile App Development, Data Science"
Mentor_29,Cybersecurity
Mentor_30,"Mobile App Development, Robotics, Sustainability"
Mentor_31,"Graphic Design, Machine Learning"
Mentor_32,Healthcare
Mentor_33,"Cloud Computing, Marketing"
Mentor_34,Biotechnology
Mentor_35,"Mobile App Development, Web Development, Education"
Mentor_36,"Biotechnology, Mobile App Development"
Mentor_37,Finance
Mentor_38,"Robotics, Mobile App Development, Web Development"
Mentor_39,"Cloud Computing, Sustainability, Finance"
Mentor_40,Sustainability
Mentor_41,"Marketing, Finance, Robotics"
Mentor_42,"Robotics, Mobile App Development, Machine Learning"
Mentor_43,Web Development
Mentor_44,Web Development
Mentor_45,"Cybersecurity, Mobile App Development"
Mentor_46,"Artificial Intelligence, Web Development, Cybersecurity"
Mentor_47,"Web Development, Healthcare, Machine Learning"
Mentor_48,Mobile App Development
Mentor_49,"Finance, Marketing, Graphic Design"
Mentor_50,"Data Science, Cloud Computing, Healthcare"
Mentor_51,Sustainability
Mentor_52,"Machine Learning, Education, Biotechnology"
Mentor_53,"Cybersecurity, Machine Learning"
Mentor_54,Sustainability
Mentor_55,"Sustainability, Data Science"
Mentor_56,Mobile App Development
Mentor_57,"Healthcare, Finance, Biotechnology"
Mentor_58,"Web Development, Machine Learning"
Mentor_59,"Graphic Design, Healthcare, Cloud Computing"
Mentor_60,"Web Development, Marketing, Data Science"
